"","rank","title","Previous.Rank","Revenues...M.","Revenue.Change","Profits...M.","Profit.Change","Assets...M.","Mkt.Value.as.of.3.29.18...M.","Employees","CEO","CEO.Title","Sector","Industry","Years.on.Fortune.500.List","City","State","Latitude","Longitude","CEO.gender","ticker"
"103",103,"INTL FCStone","189","$29,424 ","99.40%","$6.40 ","-88.30%","$6,243 ","$804 ","1,607","Sean O'Connor","President, Chief Executive Officer &  Director","Financials","Diversified Financials","10","New York","NY",40.7127753,-74.0059728,"male","INTL"
"104",104,"Northwestern Mutual","97","$29,331 ","1.80%","$1,017.00 ","24.30%","$265,049 ","-","5,437","John Schlifske","Chairman &  Chief Executive Officer","Financials","Insurance: Life, Health (Mutual)","24","Milwaukee","WI",43.0389025,-87.9064736,"male",NA
"105",105,"Enterprise Products Partners","122","$29,242 ","27.00%","$2,799.30 ","11.40%","$54,418 ","$52,904 ","7,000","James Teague","Chairman &  Chief Executive Officer","Energy","Pipelines","13","Houston","TX",29.7604267,-95.3698028,"male","EPD"
"106",106,"Travelers Cos.","99","$28,902 ","4.60%","$2,056.00 ","-31.80%","$103,483 ","$37,691 ","30,800","Alan Schnitzer","Chairman &  Chief Executive Officer","Financials","Insurance: Property and Casualty (Stock)","24","New York","NY",40.7127753,-74.0059728,"male","TRV"
"107",107,"Hewlett Packard Enterprise","59","$28,871 ","-42.40%","$344.00 ","-89.10%","$61,406 ","$27,243 ","66,000","Antonio Neri","President, Chief Executive Officer &  Director","Technology","Computers, Office Equipment","2","Palo Alto","CA",37.4418834,-122.1430195,"male","HPE"
"108",108,"Philip Morris International","104","$28,748 ","7.70%","$6,035.00 ","-13.40%","$42,968 ","$154,514 ","80,600","Andr� Calantzopoulos","Chairman &  Chief Executive Officer","Food, Beverages &  Tobacco","Tobacco","10","New York","NY",40.7127753,-74.0059728,NA,"PM"
"109",109,"Twenty-First Century Fox","101","$28,500 ","4.30%","$2,952.00 ","7.20%","$50,724 ","$67,969 ","21,700","James Murdoch","Chief Executive Officer &  Director","Media","Entertainment","14","New York","NY",40.7127753,-74.0059728,"male",NA
"110",110,"AbbVie","111","$28,216 ","10.10%","$5,309.00 ","-10.80%","$70,786 ","$150,180 ","29,000","Richard Gonzalez","Chairman &  Chief Executive Officer","Health Care","Pharmaceuticals","5","North Chicago","IL",42.325578,-87.8411818,"male","ABBV"
"111",111,"Abbott Laboratories","135","$27,390 ","31.30%","$477.00 ","-65.90%","$76,250 ","$104,640 ","99,000","Miles White","Chairman &  Chief Executive Officer","Health Care","Medical Products and Equipment","24","Lake Bluff","IL",42.304505,-87.8960712,"male","ABT"
"112",112,"Progressive","120","$26,839 ","14.50%","$1,592.20 ","54.40%","$38,701 ","$35,478 ","33,656","Susan Patricia Griffith","President, Chief Executive Officer &  Director","Financials","Insurance: Property and Casualty (Stock)","24","Mayfield","OH",41.5519952,-81.4392828,"female","PGR"
"113",113,"Arrow Electronics","118","$26,813 ","12.50%","$402.00 ","-23.10%","$16,463 ","$6,750 ","18,800","Michael Long","Chairman, President &  Chief Executive Officer","Wholesalers","Wholesalers: Electronics and Office Equipment","24","Centennial","CO",39.5807452,-104.8771726,"male","ARW"
"114",114,"Kraft Heinz","106","$26,232 ","-1.00%","$10,999.00 ","202.80%","$120,232 ","$75,920 ","39,000","Bernardo Hees","Chief Executive Officer","Food, Beverages &  Tobacco","Food Consumer Products","24","Pittsburgh","PA",40.4406248,-79.9958864,"male","KHC"
"115",115,"Plains GP Holdings","141","$26,223 ","29.90%","($731.00)","-877.70%","$26,753 ","$6,328 ","4,850","Greg Armstrong","Chairman &  Chief Executive Officer","Energy","Pipelines","5","Houston","TX",29.7604267,-95.3698028,"male","GPP"
"116",116,"Gilead Sciences","92","$26,107 ","-14.10%","$4,628.00 ","-65.70%","$70,283 ","$98,298 ","10,000","John Milligan IV","President, Chief Executive Officer &  Director","Health Care","Pharmaceuticals","10","San Mateo","CA",37.5585465,-122.2710788,"male","GILD"
"117",117,"Mondelez International","109","$25,896 ","-0.10%","$2,922.00 ","76.10%","$63,109 ","$62,066 ","83,000","Dirk Van de Put","Chairman &  Chief Executive Officer","Food, Beverages &  Tobacco","Food Consumer Products","11","Deerfield","IL",42.1711365,-87.8445119,"male","MDLZ"
"118",118,"Northrop Grumman","114","$25,803 ","5.30%","$2,015.00 ","-8.40%","$34,917 ","$60,778 ","70,000","Wesley Bush","Chairman &  Chief Executive Officer","Aerospace &  Defense","Aerospace and Defense","24","Falls Church","VA",38.882334,-77.1710914,"male","NOC"
"119",119,"Raytheon","116","$25,348 ","5.30%","$2,024.00 ","-8.50%","$30,860 ","$62,265 ","64,000","Thomas Kennedy","Chairman &  Chief Executive Officer","Aerospace &  Defense","Aerospace and Defense","24","Waltham","MA",42.3764852,-71.2356113,"male","RTN"
